,language,countries,endangerment,speakers,latitude,longitude
285,Lower Mixe,Mexico,Vulnerable,37000,16.9616,-95.093
286,Maram,India,Vulnerable,37000,25.185,93.9715
287,Western Mari,Russian Federation,Severely endangered,36822,56.3317,46.5545
288,Chepang,Nepal,Vulnerable,36807,27.7552,84.8144
289,Chontal Tabasco,Mexico,Severely endangered,36514,17.7607,-92.5936
290,Muji,China,Definitely endangered,36500,23.6,102.7333
291,Akatek (Guatemala),Guatemala,Vulnerable,35763,15.5724,-91.4218
292,Huichol,Mexico,Vulnerable,35724,22.65,-103.5833
293,Romansh,Switzerland,Definitely endangered,35095,46.5777,9.6954
294,Apatani,India,Vulnerable,35000,27.5228,93.8177
295,Galo,India,Vulnerable,35000,28.1688,94.7433
296,Korwa,India,Vulnerable,35000,22.4922,84.1552
297,Shuar chicham,Ecuador,Definitely endangered,35000,-2.8826,-78.0303
298,Ticuna,"Brazil, Colombia, Peru",Definitely endangered,35000,-4.3464,-70.0048
299,Wanka Quechua,Peru,Severely endangered,35000,-12.136,-75.2453
300,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,34614,3.4256,-68.8183
301,Jakaltek (Guatemala),Guatemala,Definitely endangered,34038,15.6685,-91.7111
302,Liangmai,India,Vulnerable,34000,25.2794,93.6694
303,Zeme,India,Vulnerable,34000,25.5027,93.5595
304,Highland Mazatec,Mexico,Vulnerable,33859,18.1307,-96.8436
305,Thangmi,Nepal,Definitely endangered,33500,27.6969,86.0057
306,Nocte,India,Vulnerable,33000,27.1618,95.7952
307,Mayo,Mexico,Critically endangered,32869,26.9114,-109.6271
308,Lauje,Indonesia,Vulnerable,32000,-0.4531,119.9816
309,Danuwar,Nepal,Severely endangered,31849,26.9661,86.3223
310,Sirmaudi,India,Critically endangered,31144,30.9823,77.1569
311,Abaza,"Russian Federation, Turkey",Definitely endangered,31000,44.1556,41.9368
312,Koch,India,Definitely endangered,31000,25.7603,90.3955
313,Amis,China,Vulnerable,30000,23.4456,121.4483
314,Biak,Indonesia,Vulnerable,30000,-0.3076,131.2207
315,Bumthang,Bhutan,Vulnerable,30000,27.492,90.7159
316,Burgenland Croatian,"Austria, Hungary, Slovakia",Definitely endangered,30000,47.8435,16.5179
317,Dzhidi,Iran (Islamic Republic of),Definitely endangered,30000,33.5139,48.0102
318,Judeo-Berber (Israel),Israel,Severely endangered,30000,31.6767,34.5684
319,Kham,Nepal,Definitely endangered,30000,28.4321,82.9635
320,Ladin,Italy,Definitely endangered,30000,46.5531,11.8597
321,Lepcha,"Bhutan, India, Nepal",Definitely endangered,30000,27.1153,88.4687
322,Maonan,China,Vulnerable,30000,24.8341,107.577
323,"Mok (Myanmar, Thailand)","Myanmar, Thailand",Definitely endangered,30000,21.7333,99.7666
324,Moro,Sudan,Definitely endangered,30000,10.8872,30.1904
325,Mulam,China,Vulnerable,30000,24.6341,108.2895
326,North Saami,"Finland, Norway, Russian Federation, Sweden",Definitely endangered,30000,68.9099,22.9394
327,Quechua of Cajamarca,Peru,Severely endangered,30000,-7.1772,-78.673
328,Quichua (Pastaza),Ecuador,Definitely endangered,30000,-1.7575,-76.8603
329,Rushani,"Tajikistan, Afghanistan",Definitely endangered,30000,37.8705,71.5979
330,Tagin,India,Vulnerable,30000,28.038,94.2022
